Word           Frequency      Posting List   
-------------------------------------------------------------------------

and            1              [(2, 56)]      
black          3              [(1, 22), (2, 72), (3, 0)]
cash           1              [(2, 10)]      
corruption     1              [(1, 0)]       
creation       1              [(2, 60)]      
currency       1              [(3, 51)]      
denomination   1              [(3, 38)]      
excessive      1              [(2, 0)]       
generation     1              [(1, 34)]      
high           1              [(3, 33)]      
in             3              [(1, 19), (2, 34), (3, 30)]
is             1              [(3, 12)]      
money          3              [(1, 28), (2, 78), (3, 6)]
non-payment    1              [(2, 37)]      
of             2              [(2, 49), (2, 69)]
result         1              [(2, 27)]      
results        1              [(1, 11)]      
stored         1              [(3, 23)]      
tax            1              [(2, 52)]      
transaction    1              [(2, 15)]      
usually        1              [(3, 15)]      
