Word           Frequency      Posting List   
-------------------------------------------------------------------------

a              154            [(1, 642), (1, 814), (1, 1465), (1, 1557), (1, 2539), (1, 2575), (1, 2679), (1, 2990), (1, 3143), (1, 3215), (1, 4189), (1, 4339), (1, 4394), (1, 4495), (1, 4679), (1, 5086), (1, 5280), (1, 5336), (1, 5802), (1, 6803), (1, 6854), (1, 6861), (1, 6866), (1, 6883), (1, 7035), (1, 8473), (1, 8746), (1, 8758), (1, 8925), (1, 9300), (1, 9948), (1, 10371), (1, 10471), (1, 10741), (1, 11653), (1, 11718), (1, 12068), (1, 12291), (1, 12327), (1, 12911), (1, 12994), (1, 13069), (1, 13769), (1, 13847), (1, 14040), (1, 14160), (1, 14242), (1, 14519), (1, 14736), (1, 14762), (1, 14828), (1, 15305), (1, 15498), (1, 15647), (1, 15768), (1, 15911), (1, 16523), (1, 16859), (1, 17046), (1, 17131), (1, 17331), (1, 17406), (1, 17628), (1, 17734), (1, 17952), (1, 18036), (1, 18110), (1, 18570), (1, 18583), (1, 19036), (1, 19338), (2, 250), (2, 2341), (2, 2368), (2, 2465), (2, 2485), (2, 2517), (2, 2621), (2, 2668), (2, 2922), (2, 3002), (2, 3020), (2, 3261), (2, 3528), (2, 3602), (2, 3641), (2, 3679), (2, 3760), (2, 3851), (2, 4246), (2, 4566), (2, 5342), (2, 5391), (2, 7317), (2, 8168), (2, 9804), (2, 10548), (2, 10880), (2, 10930), (2, 11433), (2, 12319), (2, 13220), (2, 13274), (2, 13346), (2, 13455), (2, 13544), (2, 13649), (2, 13969), (2, 14023), (2, 14239), (2, 14308), (2, 14447), (2, 15635), (2, 16084), (2, 16169), (2, 16311), (2, 16556), (2, 16596), (2, 16673), (2, 16801), (2, 17067), (2, 17201), (2, 17256), (2, 17410), (2, 17451), (2, 17962), (2, 18037), (2, 18159), (2, 18163), (2, 18344), (2, 18540), (2, 18774), (2, 18885), (2, 18918), (2, 19787), (2, 20319), (2, 20644), (2, 20687), (2, 20784), (2, 20841), (2, 20961), (2, 21480), (2, 22204), (2, 22308), (2, 22492), (2, 22684), (2, 23147), (2, 24363), (2, 24701), (2, 25013), (2, 25176), (2, 26014), (2, 26144), (2, 26212)]

aa             1              [(2, 27153)]   

aaa            1              [(2, 27156)]   

aab            3              [(2, 18826), (2, 18898), (2, 27166)]

aabb           1              [(2, 27226)]   

ab             1              [(2, 27231)]   

abb            3              [(2, 18870), (2, 18942), (2, 27245)]

abbb           1              [(2, 27275)]   

ability        1              [(1, 5146)]    

about          4              [(1, 59), (1, 7628), (2, 60), (2, 2355)]

aboutcom       1              [(2, 24678)]   

absence        1              [(1, 5102)]    

absorbent      2              [(2, 21653), (2, 22070)]

absorbents     1              [(2, 10775)]   

academic       1              [(1, 14916)]   

accelerated    1              [(1, 18514)]   

acceptance     1              [(1, 3804)]    

accepted       1              [(2, 4836)]    

accessed       1              [(1, 19124)]   

acclimatized   1              [(1, 6439)]    

according      4              [(1, 7812), (1, 12019), (2, 6103), (2, 12290)]

accounted      2              [(2, 654), (2, 10035)]

accounting     2              [(1, 875), (2, 11229)]

achieved       1              [(2, 5382)]    

