Word           Frequency      Posting List   
-------------------------------------------------------------------------

a              154            [(1, 595), (1, 741), (1, 1284), (1, 1372), (1, 2258), (1, 2289), (1, 2381), (1, 2665), (1, 2809), (1, 2873), (1, 3751), (1, 3898), (1, 3951), (1, 4042), (1, 4210), (1, 4553), (1, 4721), (1, 4774), (1, 5181), (1, 6060), (1, 6107), (1, 6114), (1, 6119), (1, 6136), (1, 6274), (1, 7573), (1, 7803), (1, 7815), (1, 7972), (1, 8297), (1, 8861), (1, 9230), (1, 9316), (1, 9560), (1, 10387), (1, 10444), (1, 10756), (1, 10962), (1, 10997), (1, 11402), (1, 11469), (1, 11536), (1, 12182), (1, 12256), (1, 12421), (1, 12536), (1, 12603), (1, 12862), (1, 13065), (1, 13091), (1, 13151), (1, 13590), (1, 13771), (1, 13902), (1, 14009), (1, 14141), (1, 14685), (1, 14981), (1, 15149), (1, 15229), (1, 15397), (1, 15466), (1, 15673), (1, 15763), (1, 15955), (1, 16029), (1, 16095), (1, 16503), (1, 16516), (1, 16909), (1, 17186), (2, 232), (2, 2115), (2, 2142), (2, 2238), (2, 2256), (2, 2286), (2, 2385), (2, 2430), (2, 2668), (2, 2740), (2, 2758), (2, 2973), (2, 3221), (2, 3287), (2, 3323), (2, 3354), (2, 3431), (2, 3512), (2, 3879), (2, 4167), (2, 4891), (2, 4935), (2, 6685), (2, 7459), (2, 8910), (2, 9584), (2, 9886), (2, 9934), (2, 10383), (2, 11152), (2, 11933), (2, 11982), (2, 12050), (2, 12147), (2, 12230), (2, 12321), (2, 12611), (2, 12664), (2, 12864), (2, 12930), (2, 13063), (2, 14107), (2, 14518), (2, 14602), (2, 14741), (2, 14965), (2, 15000), (2, 15072), (2, 15196), (2, 15435), (2, 15555), (2, 15605), (2, 15740), (2, 15777), (2, 16237), (2, 16309), (2, 16426), (2, 16430), (2, 16594), (2, 16787), (2, 17005), (2, 17104), (2, 17136), (2, 17929), (2, 18409), (2, 18707), (2, 18746), (2, 18841), (2, 18888), (2, 18999), (2, 19471), (2, 20128), (2, 20214), (2, 20395), (2, 20572), (2, 20982), (2, 22095), (2, 22415), (2, 22681), (2, 22833), (2, 23617), (2, 23735), (2, 23800)]

aa             1              [(2, 24654)]   

aaa            1              [(2, 24657)]   

aab            3              [(2, 17056), (2, 17117), (2, 24667)]

aabb           1              [(2, 24725)]   

ab             1              [(2, 24730)]   

abb            3              [(2, 17092), (2, 17160), (2, 24744)]

abbb           1              [(2, 24773)]   

abil           1              [(1, 4603)]    

about          4              [(1, 56), (1, 6810), (2, 58), (2, 2129)]

aboutcom       1              [(2, 22394)]   

absenc         1              [(1, 4566)]    

absorb         3              [(2, 9793), (2, 19635), (2, 20018)]

academ         1              [(1, 13235)]   

acceler        1              [(1, 16456)]   

accept         2              [(1, 3387), (2, 4414)]

access         1              [(1, 16990)]   

acclimat       1              [(1, 5742)]    

accord         4              [(1, 6978), (1, 10712), (2, 5580), (2, 11128)]

account        4              [(1, 795), (2, 603), (2, 9122), (2, 10201)]

achiev         1              [(2, 4928)]    

across         2              [(2, 2135), (2, 14765)]

